game_id,weather_id,temperature,precipitation,wind_speed,weather_condition,severe_weather_flag,weather_timestamp,weather_source_method,venue_name,latitude,longitude,temperature_max,temperature_min,temperature_avg,apparent_temperature,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg,rainfall,snowfall,snow_depth,wind_gust,wind_direction,sunshine,weather_code
2015_POST_21_CAR_DEN_20160207,WTH_00011,53.6,0.0,7.5,WMO_3,0,2016-02-07 12:00:00,open_meteo_daily_by_venue_coordinates,Levi's Stadium,37.403,-121.97,67.8,42.3,53.6,50.6,65.4,38.7,50.6,0.0,0.0,0.0,18.8,59.0,14.53,3.0
2015_REG_01_BAL_DEN_20150913,WTH_00012,71.2,0.0,9.4,WMO_3,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Empower Field at Mile High,39.7439,-105.0201,88.3,55.7,71.2,66.3,85.2,48.8,66.3,0.0,0.0,0.0,21.5,247.0,22.95,3.0
2015_REG_01_CAR_JAX_20150913,WTH_00013,74.9,0.024,6.3,WMO_51|PRECIP,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,EverBank Stadium,30.3239,-81.6373,81.2,71.0,74.9,80.7,86.9,76.1,80.7,0.024,0.0,0.0,17.9,297.0,19.76,51.0
2015_REG_01_CIN_LV_20150913,WTH_00014,69.7,0.0,9.6,WMO_3,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,O.co Coliseum,37.7516,-122.2005,86.4,61.4,69.7,69.7,86.3,61.7,69.7,0.0,0.0,0.0,17.9,243.0,17.34,3.0
2015_REG_01_CLE_NYJ_20150913,WTH_00015,68.4,0.35,9.9,WMO_63|PRECIP,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,72.1,66.0,68.4,71.1,73.2,65.3,71.1,0.35,0.0,0.0,18.8,222.0,8.86,63.0
2015_REG_01_DET_LAC_20150913,WTH_00016,78.4,0.0,10.4,WMO_0,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Qualcomm Stadium,32.7831,-117.1195,86.1,73.0,78.4,84.1,90.5,80.3,84.1,0.0,0.0,0.0,26.2,262.0,23.12,0.0
2015_REG_01_GB_CHI_20150913,WTH_00017,58.9,0.0,7.7,WMO_2,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Soldier Field,41.8623,-87.6167,67.1,52.4,58.9,55.8,64.3,49.2,55.8,0.0,0.0,0.0,17.7,297.0,20.58,2.0
2015_REG_01_IND_BUF_20150913,WTH_00018,54.6,0.839,13.7,WMO_61|PRECIP,1,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Highmark Stadium,42.7738,-78.7868,56.4,53.2,54.6,50.5,52.6,48.9,50.5,0.839,0.0,0.0,27.7,302.0,5.26,61.0
2015_REG_01_KC_HOU_20150913,WTH_00019,70.0,0.0,0.0,INDOOR,0,2015-09-13 12:00:00,open_meteo_indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_MIA_WSH_20150913,WTH_00020,65.2,0.043,10.4,WMO_55|PRECIP,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Northwest Stadium,38.9078,-76.8644,72.3,60.0,65.2,63.7,71.7,58.5,63.7,0.043,0.0,0.0,25.9,293.0,17.14,55.0
2015_REG_01_MIN_SF_20150914,WTH_00021,66.6,0.004,9.9,WMO_51|PRECIP,0,2015-09-14 12:00:00,open_meteo_daily_by_venue_coordinates,Levi's Stadium,37.403,-121.97,83.1,60.2,66.6,66.1,83.1,58.7,66.1,0.004,0.0,0.0,24.8,195.0,16.46,51.0
2015_REG_01_NO_ARI_20150913,WTH_00022,70.0,0.0,0.0,INDOOR,0,2015-09-13 12:00:00,open_meteo_indoor_controlled_daily_values,State Farm Stadium,33.5276,-112.2626,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_NYG_DAL_20150913,WTH_00023,70.0,0.0,0.0,INDOOR,0,2015-09-13 12:00:00,open_meteo_indoor_controlled_daily_values,AT&T Stadium,32.7473,-97.0945,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_PHI_ATL_20150914,WTH_00024,70.0,0.0,0.0,INDOOR,0,2015-09-14 12:00:00,open_meteo_indoor_controlled_daily_values,Georgia Dome,33.7573,-84.4008,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_PIT_NE_20150910,WTH_00025,72.5,0.488,9.6,WMO_61|PRECIP,0,2015-09-10 12:00:00,open_meteo_daily_by_venue_coordinates,Gillette Stadium,42.0909,-71.2643,78.4,65.5,72.5,77.7,82.5,67.6,77.7,0.488,0.0,0.0,22.8,64.0,3.6,61.0
2015_REG_01_SEA_LAR_20150913,WTH_00026,70.0,0.0,0.0,INDOOR,0,2015-09-13 12:00:00,open_meteo_indoor_controlled_daily_values,Edward Jones Dome,38.6329,-90.1887,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_TEN_TB_20150913,WTH_00027,78.2,0.339,8.7,WMO_61|PRECIP,0,2015-09-13 12:00:00,open_meteo_daily_by_venue_coordinates,Raymond James Stadium,27.9759,-82.5033,82.4,75.5,78.2,86.2,93.2,82.4,86.2,0.339,0.0,0.0,19.2,264.0,14.05,61.0
2015_REG_02_ARI_CHI_20150920,WTH_00028,62.8,0.0,6.1,WMO_2,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Soldier Field,41.8623,-87.6167,66.9,55.9,62.8,61.8,66.4,55.2,61.8,0.0,0.0,0.0,13.2,94.0,19.86,2.0
2015_REG_02_ATL_NYG_20150920,WTH_00029,70.0,0.0,11.4,WMO_2,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,74.2,66.9,70.0,70.1,75.5,64.0,70.1,0.0,0.0,0.0,23.9,341.0,18.42,2.0
2015_REG_02_BAL_LV_20150920,WTH_00030,77.7,0.0,5.1,WMO_0,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,O.co Coliseum,37.7516,-122.2005,95.1,63.9,77.7,77.1,94.5,64.1,77.1,0.0,0.0,0.0,15.0,334.0,22.32,0.0
2015_REG_02_DAL_PHI_20150920,WTH_00031,71.6,0.0,10.8,WMO_2,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Lincoln Financial Field,39.9008,-75.1675,77.3,66.3,71.6,72.4,76.6,65.4,72.4,0.0,0.0,0.0,25.1,359.0,18.67,2.0
2015_REG_02_DEN_KC_20150917,WTH_00032,80.0,0.0,16.9,WMO_3,0,2015-09-17 12:00:00,open_meteo_daily_by_venue_coordinates,Arrowhead Stadium,39.0489,-94.4839,87.9,74.3,80.0,81.4,91.9,74.1,81.4,0.0,0.0,0.0,33.8,186.0,17.12,3.0
2015_REG_02_DET_MIN_20150920,WTH_00033,60.8,0.008,13.0,WMO_51|PRECIP,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,TCF Bank Stadium,44.976,-93.2247,70.5,52.5,60.8,56.7,65.6,48.3,56.7,0.008,0.0,0.0,27.5,183.0,18.78,51.0
2015_REG_02_HOU_CAR_20150920,WTH_00034,77.5,0.0,5.2,WMO_3,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Bank of America Stadium,35.2258,-80.8528,89.0,66.7,77.5,79.8,92.5,68.5,79.8,0.0,0.0,0.0,16.3,337.0,18.73,3.0
2015_REG_02_LAC_CIN_20150920,WTH_00035,65.3,0.0,9.1,WMO_3,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Paycor Stadium,39.0955,-84.516,71.7,58.4,65.3,62.9,69.1,56.9,62.9,0.0,0.0,0.0,22.1,32.0,18.28,3.0
2015_REG_02_LAR_WSH_20150920,WTH_00036,71.3,0.173,11.7,WMO_61|PRECIP,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Northwest Stadium,38.9078,-76.8644,77.9,67.4,71.3,71.5,77.1,65.7,71.5,0.173,0.0,0.0,27.3,360.0,17.62,61.0
2015_REG_02_MIA_JAX_20150920,WTH_00037,78.2,0.008,5.2,WMO_51|PRECIP,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,EverBank Stadium,30.3239,-81.6373,86.7,71.3,78.2,85.5,95.2,77.4,85.5,0.008,0.0,0.0,12.3,337.0,20.42,51.0
2015_REG_02_NE_BUF_20150920,WTH_00038,58.7,0.024,9.7,WMO_53|PRECIP,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Highmark Stadium,42.7738,-78.7868,63.7,53.6,58.7,55.7,61.2,50.8,55.7,0.024,0.0,0.0,21.7,349.0,19.37,53.0
2015_REG_02_NYJ_IND_20150921,WTH_00039,70.0,0.0,0.0,INDOOR,0,2015-09-21 12:00:00,open_meteo_indoor_controlled_daily_values,Lucas Oil Stadium,39.7601,-86.1639,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_02_SEA_GB_20150920,WTH_00040,59.8,0.0,7.9,WMO_3,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Lambeau Field,44.5013,-88.0622,68.6,51.1,59.8,57.2,65.6,48.6,57.2,0.0,0.0,0.0,17.7,239.0,17.1,3.0
2015_REG_02_SF_PIT_20150920,WTH_00041,62.7,0.087,12.3,WMO_55|PRECIP,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Acrisure Stadium,40.4468,-80.0158,71.8,54.0,62.7,60.9,69.4,51.9,60.9,0.087,0.0,0.0,24.8,5.0,20.22,55.0
2015_REG_02_TB_NO_20150920,WTH_00042,70.0,0.0,0.0,INDOOR,0,2015-09-20 12:00:00,open_meteo_indoor_controlled_daily_values,Caesars Superdome,29.9511,-90.0812,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_02_TEN_CLE_20150920,WTH_00043,61.2,0.0,11.9,WMO_3,0,2015-09-20 12:00:00,open_meteo_daily_by_venue_coordinates,Huntington Bank Field,41.5061,-81.6995,65.5,56.8,61.2,58.9,63.4,55.3,58.9,0.0,0.0,0.0,20.1,24.0,19.57,3.0
2015_REG_03_ATL_DAL_20150927,WTH_00044,70.0,0.0,0.0,INDOOR,0,2015-09-27 12:00:00,open_meteo_indoor_controlled_daily_values,AT&T Stadium,32.7473,-97.0945,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_03_BUF_MIA_20150927,WTH_00045,81.1,0.15,5.3,WMO_61|PRECIP,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Hard Rock Stadium,25.958,-80.2389,86.2,77.9,81.1,90.2,95.0,87.1,90.2,0.15,0.0,0.0,12.3,182.0,13.71,61.0
2015_REG_03_CHI_SEA_20150927,WTH_00046,52.9,0.0,9.0,WMO_1,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Lumen Field,47.5952,-122.3316,61.1,46.2,52.9,49.5,56.2,43.4,49.5,0.0,0.0,0.0,21.9,17.0,16.2,1.0
2015_REG_03_CIN_BAL_20150927,WTH_00047,65.5,0.004,14.7,WMO_51|PRECIP,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,M&T Bank Stadium,39.278,-76.6227,73.0,61.0,65.5,62.5,69.8,57.0,62.5,0.004,0.0,0.0,23.9,65.0,9.51,51.0
2015_REG_03_DEN_DET_20150927,WTH_00048,70.0,0.0,0.0,INDOOR,0,2015-09-27 12:00:00,open_meteo_indoor_controlled_daily_values,Ford Field,42.34,-83.0456,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_03_IND_TEN_20150927,WTH_00049,70.0,0.106,6.7,WMO_51|PRECIP,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Nissan Stadium,36.1665,-86.7713,78.2,66.3,70.0,73.4,80.9,69.7,73.4,0.106,0.0,0.0,18.3,126.0,8.22,51.0
2015_REG_03_JAX_NE_20150927,WTH_00050,56.6,0.0,6.6,WMO_3,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Gillette Stadium,42.0909,-71.2643,70.9,45.4,56.6,54.3,68.7,42.7,54.3,0.0,0.0,0.0,16.1,95.0,18.58,3.0
2015_REG_03_KC_GB_20150928,WTH_00051,69.9,0.016,11.7,WMO_51|PRECIP,0,2015-09-28 12:00:00,open_meteo_daily_by_venue_coordinates,Lambeau Field,44.5013,-88.0622,77.5,64.6,69.9,70.1,76.7,65.4,70.1,0.016,0.0,0.0,23.7,218.0,13.22,51.0
2015_REG_03_LAC_MIN_20150927,WTH_00052,68.8,0.0,12.9,WMO_0,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,TCF Bank Stadium,44.976,-93.2247,78.5,61.3,68.8,67.1,77.0,58.7,67.1,0.0,0.0,0.0,26.2,179.0,17.47,0.0
2015_REG_03_LV_CLE_20150927,WTH_00053,66.2,0.0,11.1,WMO_3,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Huntington Bank Field,41.5061,-81.6995,74.8,61.5,66.2,62.9,73.6,57.0,62.9,0.0,0.0,0.0,21.7,146.0,9.42,3.0
2015_REG_03_NO_CAR_20150927,WTH_00054,64.2,0.26,13.8,WMO_53|PRECIP,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,Bank of America Stadium,35.2258,-80.8528,66.3,62.2,64.2,64.5,67.4,61.8,64.5,0.26,0.0,0.0,23.5,43.0,2.32,53.0
2015_REG_03_PHI_NYJ_20150927,WTH_00055,61.5,0.0,7.4,WMO_3,0,2015-09-27 12:00:00,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,69.0,55.7,61.5,59.8,67.8,53.3,59.8,0.0,0.0,0.0,15.2,74.0,11.26,3.0
2015_REG_03_PIT_LAR_20150927,WTH_00056,70.0,0.0,0.0,INDOOR,0,2015-09-27 12:00:00,open_meteo_indoor_controlled_daily_values,Edward Jones Dome,38.6329,-90.1887,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_03_SF_ARI_20150927,WTH_00057,70.0,0.0,0.0,INDOOR,0,2015-09-27 12:00:00,open_meteo_indoor_controlled_daily_values,State Farm Stadium,33.5276,-112.2626,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_03_TB_HOU_20150927,WTH_00058,70.0,0.0,0.0,INDOOR,0,2015-09-27 12:00:00,open_meteo_indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_03_WSH_NYG_20150924,WTH_00059,65.9,0.0,7.9,WMO_2,0,2015-09-24 12:00:00,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,77.5,55.4,65.9,64.9,76.8,53.6,64.9,0.0,0.0,0.0,16.1,32.0,19.58,2.0
2015_REG_04_BAL_PIT_20151001,WTH_00060,57.2,0.0,9.5,WMO_3,0,2015-10-01 12:00:00,open_meteo_daily_by_venue_coordinates,Acrisure Stadium,40.4468,-80.0158,62.4,51.6,57.2,52.8,58.9,46.0,52.8,0.0,0.0,0.0,22.6,36.0,11.76,3.0
2015_REG_04_CAR_TB_20151004,WTH_00061,71.6,0.102,11.7,WMO_61|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Raymond James Stadium,27.9759,-82.5033,74.4,68.9,71.6,75.0,77.9,73.1,75.0,0.102,0.0,0.0,28.6,299.0,12.82,61.0
2015_REG_04_CLE_LAC_20151004,WTH_00062,69.2,0.22,12.0,WMO_61|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Qualcomm Stadium,32.7831,-117.1195,75.8,67.2,69.2,69.6,76.5,66.7,69.6,0.22,0.0,0.0,28.2,194.0,11.23,61.0
2015_REG_04_DAL_NO_20151004,WTH_00063,70.0,0.0,0.0,INDOOR,0,2015-10-04 12:00:00,open_meteo_indoor_controlled_daily_values,Caesars Superdome,29.9511,-90.0812,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_04_DET_SEA_20151005,WTH_00064,58.2,0.0,6.5,WMO_3,0,2015-10-05 12:00:00,open_meteo_daily_by_venue_coordinates,Lumen Field,47.5952,-122.3316,73.0,47.1,58.2,56.1,71.2,44.1,56.1,0.0,0.0,0.0,16.6,30.0,14.95,3.0
2015_REG_04_GB_SF_20151004,WTH_00065,60.7,0.004,11.4,WMO_51|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Levi's Stadium,37.403,-121.97,74.5,53.8,60.7,58.9,74.8,51.1,58.9,0.004,0.0,0.0,24.4,195.0,19.45,51.0
2015_REG_04_HOU_ATL_20151004,WTH_00066,70.0,0.0,0.0,INDOOR,0,2015-10-04 12:00:00,open_meteo_indoor_controlled_daily_values,Georgia Dome,33.7573,-84.4008,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_04_JAX_IND_20151004,WTH_00067,70.0,0.0,0.0,INDOOR,0,2015-10-04 12:00:00,open_meteo_indoor_controlled_daily_values,Lucas Oil Stadium,39.7601,-86.1639,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_04_KC_CIN_20151004,WTH_00068,60.8,0.091,9.1,WMO_53|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Paycor Stadium,39.0955,-84.516,75.5,51.4,60.8,59.0,75.9,47.8,59.0,0.091,0.0,0.0,22.6,67.0,15.84,53.0
2015_REG_04_LAR_ARI_20151004,WTH_00069,70.0,0.0,0.0,INDOOR,0,2015-10-04 12:00:00,open_meteo_indoor_controlled_daily_values,State Farm Stadium,33.5276,-112.2626,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_04_LV_CHI_20151004,WTH_00070,52.1,0.008,17.8,WMO_51|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Soldier Field,41.8623,-87.6167,55.4,50.2,52.1,46.4,51.7,41.2,46.4,0.008,0.0,0.0,31.5,51.0,3.43,51.0
2015_REG_04_MIN_DEN_20151004,WTH_00071,55.8,0.169,9.7,WMO_61|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Empower Field at Mile High,39.7439,-105.0201,65.1,51.9,55.8,53.5,61.0,49.7,53.5,0.169,0.0,0.0,20.4,38.0,12.25,61.0
2015_REG_04_NYG_BUF_20151004,WTH_00072,51.9,0.031,12.1,WMO_51|PRECIP,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Highmark Stadium,42.7738,-78.7868,63.3,45.5,51.9,47.2,61.4,38.6,47.2,0.031,0.0,0.0,25.9,95.0,11.32,51.0
2015_REG_04_NYJ_MIA_20151004,WTH_00073,54.2,0.0,10.6,WMO_3,0,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Wembley Stadium,51.556,-0.2796,62.8,45.0,54.2,51.1,59.4,42.6,51.1,0.0,0.0,0.0,20.1,156.0,12.63,3.0
2015_REG_04_PHI_WSH_20151004,WTH_00074,57.5,0.008,16.8,WMO_51|PRECIP,1,2015-10-04 12:00:00,open_meteo_daily_by_venue_coordinates,Northwest Stadium,38.9078,-76.8644,61.4,56.2,57.5,52.0,57.1,49.8,52.0,0.008,0.0,0.0,39.1,48.0,5.37,51.0
2015_REG_05_ARI_DET_20151011,WTH_00075,70.0,0.0,0.0,INDOOR,0,2015-10-11 12:00:00,open_meteo_indoor_controlled_daily_values,Ford Field,42.34,-83.0456,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_05_BUF_TEN_20151011,WTH_00076,60.8,0.0,4.1,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Nissan Stadium,36.1665,-86.7713,71.9,51.1,60.8,60.3,71.6,50.7,60.3,0.0,0.0,0.0,9.6,136.0,17.87,3.0
2015_REG_05_CHI_KC_20151011,WTH_00077,66.3,0.0,11.5,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Arrowhead Stadium,39.0489,-94.4839,81.0,58.7,66.3,63.3,81.0,54.4,63.3,0.0,0.0,0.0,24.6,194.0,16.91,3.0
2015_REG_05_CLE_BAL_20151011,WTH_00078,57.2,0.0,5.8,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,M&T Bank Stadium,39.278,-76.6227,68.0,47.5,57.2,54.7,66.0,44.5,54.7,0.0,0.0,0.0,11.6,206.0,17.23,3.0
2015_REG_05_DEN_LV_20151011,WTH_00079,66.5,0.0,9.4,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,O.co Coliseum,37.7516,-122.2005,82.5,58.1,66.5,67.5,82.5,58.9,67.5,0.0,0.0,0.0,23.9,252.0,17.3,3.0
2015_REG_05_IND_HOU_20151008,WTH_00080,70.0,0.0,0.0,INDOOR,0,2015-10-08 12:00:00,open_meteo_indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_05_JAX_TB_20151011,WTH_00081,75.8,0.008,10.9,WMO_51|PRECIP,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Raymond James Stadium,27.9759,-82.5033,82.0,71.6,75.8,81.3,85.8,78.5,81.3,0.008,0.0,0.0,20.6,309.0,18.37,51.0
2015_REG_05_LAR_GB_20151011,WTH_00082,62.0,0.0,15.0,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Lambeau Field,44.5013,-88.0622,75.4,55.1,62.0,56.5,73.6,48.8,56.5,0.0,0.0,0.0,28.9,228.0,14.71,3.0
2015_REG_05_NE_DAL_20151011,WTH_00083,70.0,0.0,0.0,INDOOR,0,2015-10-11 12:00:00,open_meteo_indoor_controlled_daily_values,AT&T Stadium,32.7473,-97.0945,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_05_NO_PHI_20151011,WTH_00084,56.1,0.0,5.7,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Lincoln Financial Field,39.9008,-75.1675,67.9,47.3,56.1,53.4,65.2,44.3,53.4,0.0,0.0,0.0,13.9,226.0,16.72,3.0
2015_REG_05_PIT_LAC_20151012,WTH_00085,79.2,0.0,6.8,WMO_3,0,2015-10-12 12:00:00,open_meteo_daily_by_venue_coordinates,Qualcomm Stadium,32.7831,-117.1195,91.2,70.9,79.2,82.6,93.5,74.5,82.6,0.0,0.0,0.0,21.7,35.0,13.56,3.0
2015_REG_05_SEA_CIN_20151011,WTH_00086,58.6,0.0,6.2,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,Paycor Stadium,39.0955,-84.516,71.9,47.3,58.6,56.3,69.5,43.9,56.3,0.0,0.0,0.0,15.7,211.0,17.23,3.0
2015_REG_05_SF_NYG_20151011,WTH_00087,55.0,0.0,7.2,WMO_3,0,2015-10-11 12:00:00,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,67.3,45.0,55.0,51.8,63.5,41.8,51.8,0.0,0.0,0.0,15.9,221.0,16.29,3.0
2015_REG_05_WSH_ATL_20151011,WTH_00088,70.0,0.0,0.0,INDOOR,0,2015-10-11 12:00:00,open_meteo_indoor_controlled_daily_values,Georgia Dome,33.7573,-84.4008,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
