season,week,Tm,attendance,Total,Home,Away
2022,1,Detroit Lions,64537.0,1157336,570809.0,586527.0
2022,1,Green Bay Packers,66959.0,1213888,685623.0,528265.0
2022,1,Houston Texans,69415.0,1163275,543294.0,619981.0
2022,1,Indianapolis Colts,69415.0,1163736,524474.0,639262.0
2022,1,Jacksonville Jaguars,58192.0,1130728,531675.0,599053.0
2022,1,Kansas City Chiefs,63697.0,1202995,587997.0,614998.0
2022,1,Las Vegas Raiders,70240.0,1125946,496363.0,629583.0
2022,1,Los Angeles Chargers,70240.0,1175977,559644.0,616333.0
2022,1,Los Angeles Rams,73846.0,1218216,654606.0,563610.0
2022,1,Miami Dolphins,65786.0,1152651,529841.0,622810.0
2022,1,Minnesota Vikings,66959.0,1130867,600183.0,530684.0
2022,1,New England Patriots,65786.0,1151883,527024.0,624859.0
2022,1,New Orleans Saints,70078.0,1168868,621249.0,547619.0
2022,1,New York Giants,67805.0,1243963,688266.0,555697.0
2022,1,New York Jets,78827.0,1251761,624075.0,627686.0
2022,1,Philadelphia Eagles,64537.0,1180465,628828.0,551637.0
2022,1,Pittsburgh Steelers,65841.0,1151279,530243.0,621036.0
2022,1,San Francisco 49ers,62159.0,1209231,644661.0,564570.0
2022,1,Seattle Seahawks,68965.0,1174177,619491.0,554686.0
2022,1,Tampa Bay Buccaneers,93797.0,1196168,620898.0,575270.0
2022,1,Tennessee Titans,67805.0,1166846,548929.0,617917.0
2022,1,Washington Commanders,58192.0,1084489,522954.0,561535.0
2023,1,Arizona Cardinals,64693.0,1113568,502912.0,610656.0
2023,1,Atlanta Falcons,69597.0,1176416,556828.0,619588.0
2023,1,Baltimore Ravens,70136.0,1170734,635380.0,535354.0
2023,1,Buffalo Bills,83345.0,1183200,626483.0,556717.0
2023,1,Carolina Panthers,69597.0,1163926,573086.0,590840.0
2023,1,Chicago Bears,62456.0,1111491,494157.0,617334.0
2023,1,Cincinnati Bengals,67919.0,1144696,594361.0,550335.0
2023,1,Cleveland Browns,67919.0,1168498,610295.0,558203.0
2023,1,Dallas Cowboys,80809.0,1378746,748755.0,629991.0
2023,1,Denver Broncos,76299.0,1226925,687498.0,539427.0
2023,1,Detroit Lions,73522.0,1170249,518741.0,651508.0
2023,1,Green Bay Packers,62456.0,1242403,622636.0,619767.0
2023,1,Houston Texans,70136.0,1184936,640742.0,544194.0
2023,1,Indianapolis Colts,65749.0,1113729,587393.0,526336.0
2023,1,Jacksonville Jaguars,65749.0,1150901,621599.0,529302.0
2023,1,Kansas City Chiefs,73522.0,1205847,638715.0,567132.0
2023,1,Las Vegas Raiders,76299.0,1111041,559713.0,551328.0
2023,1,Los Angeles Chargers,70240.0,1190939,627632.0,563307.0
2023,1,Los Angeles Rams,68683.0,1235049,585204.0,649845.0
2023,1,Miami Dolphins,70240.0,1136583,593304.0,543279.0
2023,1,Minnesota Vikings,66741.0,1157107,535308.0,621799.0
2023,1,New England Patriots,64628.0,1165144,567168.0,597976.0
2023,1,New Orleans Saints,70024.0,1188849,560164.0,628685.0
2023,1,New York Giants,80809.0,1262352,634459.0,627893.0
2023,1,New York Jets,83345.0,1285954,701011.0,584943.0
2023,1,Philadelphia Eagles,64628.0,1223746,559032.0,664714.0
2023,1,Pittsburgh Steelers,67679.0,1146477,602796.0,543681.0
2023,1,San Francisco 49ers,67679.0,1186315,573245.0,613070.0
2023,1,Seattle Seahawks,68683.0,1193230,549886.0,643344.0
2023,1,Tampa Bay Buccaneers,66741.0,1140061,510321.0,629740.0
2023,1,Tennessee Titans,70024.0,1117370,580686.0,536684.0
2023,1,Washington Commanders,64693.0,1175750,511606.0,664144.0
2024,1,Arizona Cardinals,70542.0,1138411,575780.0,562631.0
2024,1,Atlanta Falcons,72291.0,1185384,642432.0,542952.0
2024,1,Baltimore Ravens,73611.0,1220990,568423.0,652567.0
2024,1,Buffalo Bills,70542.0,1192970,565564.0,627406.0
2024,1,Carolina Panthers,70007.0,1175655,640515.0,535140.0
2024,1,Chicago Bears,59403.0,1076006,527841.0,548165.0
2024,1,Cincinnati Bengals,66214.0,1191765,530355.0,661410.0
2024,1,Cleveland Browns,67431.0,1134676,541808.0,592868.0
2024,1,Dallas Cowboys,67431.0,1401575,836749.0,564826.0
2024,1,Denver Broncos,68714.0,1142969,515265.0,627704.0
2024,1,Detroit Lions,66530.0,1153330,584300.0,569030.0
2024,1,Green Bay Packers,47236.0,1214251,702030.0,512221.0
2024,1,Houston Texans,65306.0,1216430,570666.0,645764.0
2024,1,Indianapolis Colts,65306.0,1161683,526138.0,635545.0
2024,1,Jacksonville Jaguars,65582.0,1114472,526117.0,588355.0
2024,1,Kansas City Chiefs,73611.0,1144982,588837.0,556145.0
2024,1,Las Vegas Raiders,70240.0,1122807,497403.0,625404.0
2024,1,Los Angeles Chargers,70240.0,1170832,559732.0,611100.0
2024,1,Los Angeles Rams,66530.0,1124537,584264.0,540273.0
2024,1,Miami Dolphins,65582.0,1153651,525150.0,628501.0
2024,1,Minnesota Vikings,81908.0,1153509,596577.0,556932.0
2024,1,New England Patriots,66214.0,1147581,517078.0,630503.0
2024,1,New Orleans Saints,70007.0,1227161,630113.0,597048.0
2024,1,New York Giants,81908.0,1273642,706231.0,567411.0
2024,1,New York Jets,71319.0,1224693,631346.0,593347.0
2024,1,Philadelphia Eagles,47236.0,1194031,606268.0,587763.0
2024,1,Pittsburgh Steelers,72291.0,1151407,535045.0,616362.0
2024,1,San Francisco 49ers,71319.0,1122075,642803.0,479272.0
2024,1,Seattle Seahawks,68714.0,1166304,617945.0,548359.0
2024,1,Tampa Bay Buccaneers,63020.0,1160353,573195.0,587158.0
2024,1,Tennessee Titans,59403.0,1108720,518556.0,590164.0
2024,1,Washington Commanders,63020.0,1143908,570854.0,573054.0
2015,2,Arizona Cardinals,62351.0,1028446,513487.0,514959.0
2015,2,Atlanta Falcons,77678.0,1134671,562845.0,571826.0
2015,2,Baltimore Ravens,53500.0,1083919,568018.0,515901.0
2015,2,Buffalo Bills,70858.0,1140809,559047.0,581762.0
2015,2,Carolina Panthers,73254.0,1157689,592454.0,565235.0
2015,2,Chicago Bears,62351.0,1020065,496287.0,523778.0
2015,2,Cincinnati Bengals,57579.0,1028118,491118.0,537000.0
2015,2,Cleveland Browns,67431.0,1062262,529488.0,532774.0
2015,2,Dallas Cowboys,69296.0,1312509,731672.0,580837.0
2015,2,Denver Broncos,76404.0,1141878,615381.0,526497.0
2015,2,Detroit Lions,52319.0,1025745,490782.0,534963.0
2015,2,Green Bay Packers,78433.0,1147786,627308.0,520478.0
2015,2,Houston Texans,73254.0,1098814,574159.0,524655.0
2015,2,Indianapolis Colts,65220.0,1067476,528381.0,539095.0
2015,2,Jacksonville Jaguars,65443.0,1056511,514268.0,542243.0
2015,2,Kansas City Chiefs,76404.0,1130807,602228.0,528579.0
2015,2,Miami Dolphins,65443.0,1093320,537548.0,555772.0
2015,2,Minnesota Vikings,52319.0,958016,419440.0,538576.0
2015,2,New England Patriots,70858.0,1136287,534632.0,601655.0
2015,2,New Orleans Saints,73006.0,1135027,584305.0,550722.0
2015,2,New York Giants,77678.0,1198163,632011.0,566152.0
2015,2,New York Jets,65220.0,1207646,625280.0,582366.0
2015,2,Oakland Raiders,53500.0,970514,436397.0,534117.0
2015,2,Philadelphia Eagles,69296.0,1154629,555868.0,598761.0
2015,2,Pittsburgh Steelers,66472.0,1050712,514854.0,535858.0
2015,2,San Diego Chargers,57579.0,1056457,534180.0,522277.0
2015,2,San Francisco 49ers,66472.0,1082259,566092.0,516167.0
2015,2,Seattle Seahawks,78433.0,1097931,552162.0,545769.0
2015,2,St. Louis Rams,72460.0,957670,419220.0,538450.0
2015,2,Tampa Bay Buccaneers,73006.0,1041376,492460.0,548916.0
2015,2,Tennessee Titans,67431.0,1045359,498435.0,546924.0
2015,2,Washington Redskins,72460.0,1196087,609672.0,586415.0
2016,2,Arizona Cardinals,64230.0,1083135,518652.0,564483.0
2016,2,Atlanta Falcons,54081.0,1116392,559998.0,556394.0
2016,2,Baltimore Ravens,67431.0,1134133,568823.0,565310.0
2016,2,Buffalo Bills,70256.0,1098702,548073.0,550629.0
2016,2,Carolina Panthers,74143.0,1159680,590343.0,569337.0
2016,2,Chicago Bears,62268.0,1060607,482951.0,577656.0
2016,2,Cincinnati Bengals,65072.0,1088770,508071.0,580699.0
2016,2,Cleveland Browns,67431.0,1044825,514489.0,530336.0
2016,2,Dallas Cowboys,80612.0,1322087,740318.0,581769.0
2016,2,Denver Broncos,76379.0,1133943,614193.0,519750.0
2016,2,Detroit Lions,58466.0,1075305,486342.0,588963.0
2016,2,Green Bay Packers,66813.0,1169215,625727.0,543488.0
2016,2,Houston Texans,71890.0,1132210,574947.0,557263.0
2016,2,Indianapolis Colts,76379.0,1100210,524393.0,575817.0
2016,2,Jacksonville Jaguars,52165.0,1031602,517172.0,514430.0
2016,2,Kansas City Chiefs,71890.0,1115214,586624.0,528590.0
2016,2,Los Angeles Rams,91046.0,1198268,665318.0,532950.0
2016,2,Miami Dolphins,66829.0,1073132,524101.0,549031.0
2016,2,Minnesota Vikings,66813.0,1084502,534289.0,550213.0
2016,2,New England Patriots,66829.0,1094772,534632.0,560140.0
2016,2,New Orleans Saints,77727.0,1141039,584876.0,556163.0
2016,2,New York Giants,77727.0,1217320,630315.0,587005.0
2016,2,New York Jets,70256.0,1168377,625280.0,543097.0
2016,2,Oakland Raiders,54081.0,1009172,458561.0,550611.0
2016,2,Philadelphia Eagles,62268.0,1125298,556768.0,568530.0
