season,week,team_name_raw,team_abbr_raw,team_name_std,team_abbr_std,attendance
2024,4,Minnesota Vikings,MIN,Minnesota Vikings,MIN,78335
2024,5,Minnesota Vikings,MIN,Minnesota Vikings,MIN,61139
2024,7,Minnesota Vikings,MIN,Minnesota Vikings,MIN,66971
2024,8,Minnesota Vikings,MIN,Minnesota Vikings,MIN,72127
2024,9,Minnesota Vikings,MIN,Minnesota Vikings,MIN,66954
2024,10,Minnesota Vikings,MIN,Minnesota Vikings,MIN,65695
2024,11,Minnesota Vikings,MIN,Minnesota Vikings,MIN,67686
2024,12,Minnesota Vikings,MIN,Minnesota Vikings,MIN,57659
2024,13,Minnesota Vikings,MIN,Minnesota Vikings,MIN,66873
2024,14,Minnesota Vikings,MIN,Minnesota Vikings,MIN,67008
2024,15,Minnesota Vikings,MIN,Minnesota Vikings,MIN,67017
2024,16,Minnesota Vikings,MIN,Minnesota Vikings,MIN,68748
2024,17,Minnesota Vikings,MIN,Minnesota Vikings,MIN,67031
2024,18,Minnesota Vikings,MIN,Minnesota Vikings,MIN,64774
2024,1,New England Patriots,NE,New England Patriots,NE,66214
2024,2,New England Patriots,NE,New England Patriots,NE,64686
2024,3,New England Patriots,NE,New England Patriots,NE,80812
2024,4,New England Patriots,NE,New England Patriots,NE,71042
2024,5,New England Patriots,NE,New England Patriots,NE,64628
2024,6,New England Patriots,NE,New England Patriots,NE,64628
2024,7,New England Patriots,NE,New England Patriots,NE,86651
2024,8,New England Patriots,NE,New England Patriots,NE,64628
2024,9,New England Patriots,NE,New England Patriots,NE,66533
2024,10,New England Patriots,NE,New England Patriots,NE,58912
2024,11,New England Patriots,NE,New England Patriots,NE,64628
2024,12,New England Patriots,NE,New England Patriots,NE,65479
2024,13,New England Patriots,NE,New England Patriots,NE,64626
2024,15,New England Patriots,NE,New England Patriots,NE,64135
2024,16,New England Patriots,NE,New England Patriots,NE,70725
2024,17,New England Patriots,NE,New England Patriots,NE,64628
2024,18,New England Patriots,NE,New England Patriots,NE,64626
2024,1,New Orleans Saints,NO,New Orleans Saints,NO,70007
2024,2,New Orleans Saints,NO,New Orleans Saints,NO,93691
2024,3,New Orleans Saints,NO,New Orleans Saints,NO,70006
2024,4,New Orleans Saints,NO,New Orleans Saints,NO,72204
2024,5,New Orleans Saints,NO,New Orleans Saints,NO,73592
2024,6,New Orleans Saints,NO,New Orleans Saints,NO,70041
2024,7,New Orleans Saints,NO,New Orleans Saints,NO,70008
2024,8,New Orleans Saints,NO,New Orleans Saints,NO,70240
2024,9,New Orleans Saints,NO,New Orleans Saints,NO,70292
2024,10,New Orleans Saints,NO,New Orleans Saints,NO,70005
2024,11,New Orleans Saints,NO,New Orleans Saints,NO,70006
